,path,audio,values,target
15,./data/audios/laugh/laugh_1.m4a_43.wav,"[-0.00764803 -0.01610241 -0.00852914 ...  0.01555146  0.01480625
  0.02078454]",./data/audios/save_np/laugh_1.m4a_43.wav.npy,1
16,./data/audios/laugh/laugh_1.m4a_77.wav,"[-0.00992189 -0.01726432 -0.01539169 ...  0.00409501  0.00609747
  0.00138356]",./data/audios/save_np/laugh_1.m4a_77.wav.npy,1
17,./data/audios/hungry/9fe37482-6a64-401d-b8b9-3e47d6ed9ac0-1430047590938-1.7-f-26-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -4.5530025e-02
 -2.8895140e-01  0.0000000e+00]",./data/audios/save_np/9fe37482-6a64-401d-b8b9-3e47d6ed9ac0-1430047590938-1.7-f-26-hu.wav.npy,0
18,./data/audios/noise/5-242490-A.wav,"[ 7.9658953e-04 -1.8605647e-03 -2.1382710e-03 ... -9.2614281e-09
  9.3988097e-09  0.0000000e+00]",./data/audios/save_np/5-242490-A.wav.npy,2
19,./data/audios/hungry/1f40790f-68f2-4e7e-845e-715bd97c82d0-1429979568422-1.7-m-04-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  1.0824732e-01
  2.6512799e-01  0.0000000e+00]",./data/audios/save_np/1f40790f-68f2-4e7e-845e-715bd97c82d0-1429979568422-1.7-m-04-hu.wav.npy,0
20,./data/audios/noise/1-56380-B.wav,"[-0.00735457 -0.00019448  0.01536405 ... -0.0052494   0.00839423
  0.        ]",./data/audios/save_np/1-56380-B.wav.npy,2
21,./data/audios/hungry/3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430146536552-1.7-m-26-hu.wav,"[-2.2911356e-06  1.5303835e-05  9.6927151e-06 ... -5.6644017e-03
 -7.9811979e-03  0.0000000e+00]",./data/audios/save_np/3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430146536552-1.7-m-26-hu.wav.npy,0
22,./data/audios/noise/4-204115-A.wav,"[ 0.00048413  0.00019581 -0.00020756 ...  0.          0.
  0.        ]",./data/audios/save_np/4-204115-A.wav.npy,2
23,./data/audios/hungry/8c920fd0-fa9f-4926-bcac-074767dcbfcd-1436856363348-1.7-f-04-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -7.4712886e-04
 -1.1303987e-03  0.0000000e+00]",./data/audios/save_np/8c920fd0-fa9f-4926-bcac-074767dcbfcd-1436856363348-1.7-f-04-hu.wav.npy,0
24,./data/audios/silence/silence.wav_71.wav,"[ 0.19079432  0.38647     0.35428187 ... -0.20997413 -0.20267256
 -0.24853662]",./data/audios/save_np/silence.wav_71.wav.npy,3
25,./data/audios/hungry/189b78c6-9e78-43f2-bcb8-6cc8a462f4dc-1430807938301-1.7-m-22-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -1.6391695e-01
  7.1551830e-02  0.0000000e+00]",./data/audios/save_np/189b78c6-9e78-43f2-bcb8-6cc8a462f4dc-1430807938301-1.7-m-22-hu.wav.npy,0
26,./data/audios/hungry/d1e236a0-e030-4137-9030-5625026cd098-1430477951092-1.2-m-04-hu.wav,"[-2.3096807e-06  1.5058530e-05  3.6769794e-05 ... -2.4404148e-02
 -5.3866465e-02 -6.2711731e-02]",./data/audios/save_np/d1e236a0-e030-4137-9030-5625026cd098-1430477951092-1.2-m-04-hu.wav.npy,0
27,./data/audios/hungry/dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741828918-1.7-f-72-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -9.5602535e-03
  3.2372836e-03  0.0000000e+00]",./data/audios/save_np/dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741828918-1.7-f-72-hu.wav.npy,0
28,./data/audios/hungry/aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1436982098411-1.7-f-04-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  1.3191756e-03
  2.3692821e-03  2.0493087e-03]",./data/audios/save_np/aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1436982098411-1.7-f-04-hu.wav.npy,0
29,./data/audios/cry/margot.m4a_24.wav,"[-0.00426961  0.04481151  0.13863234 ... -0.08518413 -0.10114709
 -0.11327244]",./data/audios/save_np/margot.m4a_24.wav.npy,0
30,./data/audios/hungry/4be720ce-a5e5-4a48-930f-a212f8a239f6-1434737668804-1.7-f-48-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  1.8443426e-03
  1.5909353e-03  0.0000000e+00]",./data/audios/save_np/4be720ce-a5e5-4a48-930f-a212f8a239f6-1434737668804-1.7-f-48-hu.wav.npy,0
31,./data/audios/laugh/laugh_1.m4a_41.wav,"[-0.02829746 -0.04257488 -0.00458882 ... -0.00831142 -0.01304306
 -0.01654484]",./data/audios/save_np/laugh_1.m4a_41.wav.npy,1
32,./data/audios/hungry/64acb345-a61e-4ef3-a5a6-cf83c04b83f1-1430058973897-1.7-m-72-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -7.8053018e-03
  6.7241997e-03  0.0000000e+00]",./data/audios/save_np/64acb345-a61e-4ef3-a5a6-cf83c04b83f1-1430058973897-1.7-m-72-hu.wav.npy,0
33,./data/audios/silence/silence.wav_32.wav,"[-0.03162636 -0.06664795 -0.07349859 ... -0.07341736 -0.06861006
 -0.07948527]",./data/audios/save_np/silence.wav_32.wav.npy,3
34,./data/audios/hungry/e37c323c-0edb-4942-be47-3cc0b2de00a1-1434392919844-1.7-f-26-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -2.0612280e-04
 -1.2162235e-03  0.0000000e+00]",./data/audios/save_np/e37c323c-0edb-4942-be47-3cc0b2de00a1-1434392919844-1.7-f-26-hu.wav.npy,0
35,./data/audios/noise/4-216211-A.wav,"[-7.9207588e-03  2.7870301e-03 -1.9510305e-03 ... -1.8931956e-05
  1.6464717e-05  0.0000000e+00]",./data/audios/save_np/4-216211-A.wav.npy,2
36,./data/audios/silence/silence.wav_98.wav,[0.05184775 0.11641886 0.10475586 ... 1.0131657  0.95706236 1.0625252 ],./data/audios/save_np/silence.wav_98.wav.npy,3
37,./data/audios/hungry/8f4dbf5a-b504-4452-b6ac-94e646a6a052-1430735040980-1.7-f-72-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  2.4717161e-04
  1.5232479e-04  0.0000000e+00]",./data/audios/save_np/8f4dbf5a-b504-4452-b6ac-94e646a6a052-1430735040980-1.7-f-72-hu.wav.npy,0
38,./data/audios/hungry/459c3f85-5710-4efa-bcc9-8012aa1af55e-1430034880215-1.7-f-48-hu.wav,"[-3.3698523e-06  1.6294374e-05  3.5179975e-05 ...  9.5525794e-03
 -9.2154089e-03  0.0000000e+00]",./data/audios/save_np/459c3f85-5710-4efa-bcc9-8012aa1af55e-1430034880215-1.7-f-48-hu.wav.npy,0
39,./data/audios/noise/1-59513-A.wav,"[ 0.00100978  0.00178236  0.00179873 ...  0.00065992 -0.00036545
  0.        ]",./data/audios/save_np/1-59513-A.wav.npy,2
40,./data/audios/hungry/549a46d8-9c84-430e-ade8-97eae2bef787-1430130669340-1.7-m-48-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  1.0685454e-04
 -9.0836120e-06  0.0000000e+00]",./data/audios/save_np/549a46d8-9c84-430e-ade8-97eae2bef787-1430130669340-1.7-m-48-hu.wav.npy,0
41,./data/audios/noise/5-195557-A.wav,"[-9.4980169e-03 -1.7931715e-02 -1.4319382e-02 ... -9.9920842e-05
 -7.2182651e-05  0.0000000e+00]",./data/audios/save_np/5-195557-A.wav.npy,2
42,./data/audios/hungry/ae5a462b-5424-4b5b-82d5-07ccb61654ab-1430405436291-1.7-f-04-hu.wav,"[-2.5615288e-08  8.3559463e-08 -1.5466998e-07 ... -1.7259894e-03
 -2.1701599e-03  0.0000000e+00]",./data/audios/save_np/ae5a462b-5424-4b5b-82d5-07ccb61654ab-1430405436291-1.7-f-04-hu.wav.npy,0
43,./data/audios/cry/V_2017-04-01+08_06_22=0_30.mp3_12.wav,"[-0.02215315 -0.02329253 -0.0295364  ... -0.03138124 -0.0229337
 -0.02978178]",./data/audios/save_np/V_2017-04-01+08_06_22=0_30.mp3_12.wav.npy,0
44,./data/audios/hungry/24f2a4e1-7161-42a3-a2a2-a29a2422c0b8-1430814741368-1.7-f-26-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -2.9711170e-02
 -2.7911938e-03  0.0000000e+00]",./data/audios/save_np/24f2a4e1-7161-42a3-a2a2-a29a2422c0b8-1430814741368-1.7-f-26-hu.wav.npy,0
45,./data/audios/silence/silence.wav_38.wav,"[-0.07667662 -0.14678885 -0.12250698 ... -0.142667   -0.06905551
 -0.10987312]",./data/audios/save_np/silence.wav_38.wav.npy,3
46,./data/audios/noise/3-216281-A.wav,[0. 0. 0. ... 0. 0. 0.],./data/audios/save_np/3-216281-A.wav.npy,2
47,./data/audios/cry/V_2017-04-01+08_06_22=0_30.mp3_13.wav,[0.00357664 0.03009455 0.05377742 ... 0.02355828 0.02762461 0.01086024],./data/audios/save_np/V_2017-04-01+08_06_22=0_30.mp3_13.wav.npy,0
48,./data/audios/cry/V_2017-04-01+08_06_22=0_30.mp3_22.wav,"[-0.01346897 -0.05186503 -0.04950696 ... -0.10667981 -0.02974566
  0.11704762]",./data/audios/save_np/V_2017-04-01+08_06_22=0_30.mp3_22.wav.npy,0
49,./data/audios/hungry/11417AC2-DCC9-48CD-8177-CA8665E51B2F-1436881489-1.1-m-48-hu.wav,[0.00130257 0.00449129 0.02554914 ... 0.01131352 0.00755237 0.00541777],./data/audios/save_np/11417AC2-DCC9-48CD-8177-CA8665E51B2F-1436881489-1.1-m-48-hu.wav.npy,0
50,./data/audios/hungry/818A32F4-D5D8-426C-B88C-81A8154AC81A-1430093571-1.0-m-26-hu.wav,"[ 9.6833674e-06 -4.6125920e-03 -1.8084861e-02 ... -2.7070942e-03
  2.6067829e-04 -8.7665865e-04]",./data/audios/save_np/818A32F4-D5D8-426C-B88C-81A8154AC81A-1430093571-1.0-m-26-hu.wav.npy,0
51,./data/audios/hungry/7B924575-21FC-462A-969E-BABB46D1CBF5-1430055220-1.0-f-72-hu.wav,[0.00029726 0.00036072 0.00065734 ... 0.0014123  0.00123574 0.00028483],./data/audios/save_np/7B924575-21FC-462A-969E-BABB46D1CBF5-1430055220-1.0-f-72-hu.wav.npy,0
52,./data/audios/cry/V_2017-04-01+08_06_22=0_30.mp3_1.wav,"[-0.11164356 -0.12529615 -0.25910383 ...  0.04356458  0.14354445
  0.02173036]",./data/audios/save_np/V_2017-04-01+08_06_22=0_30.mp3_1.wav.npy,0
53,./data/audios/silence/silence.wav_81.wav,"[-0.13662167 -0.26179525 -0.22895657 ... -0.00981884 -0.01312113
 -0.00731164]",./data/audios/save_np/silence.wav_81.wav.npy,3
54,./data/audios/hungry/9fe37482-6a64-401d-b8b9-3e47d6ed9ac0-1430047362195-1.7-f-26-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -6.7382090e-05
 -8.9800735e-05  0.0000000e+00]",./data/audios/save_np/9fe37482-6a64-401d-b8b9-3e47d6ed9ac0-1430047362195-1.7-f-26-hu.wav.npy,0
55,./data/audios/hungry/D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1429807598-1.0-m-48-hu.wav,"[-3.0367423e-04  1.3786709e-05 -6.9399292e-05 ...  2.4337471e-01
  4.6375792e-02 -1.5117741e-01]",./data/audios/save_np/D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1429807598-1.0-m-48-hu.wav.npy,0
56,./data/audios/hungry/F24DE44B-762C-4149-AC92-96A5E57ED118-1430816936-1.0-m-04-hu.wav,"[ 0.          0.          0.         ... -0.04141335 -0.0434044
 -0.00613056]",./data/audios/save_np/F24DE44B-762C-4149-AC92-96A5E57ED118-1430816936-1.0-m-04-hu.wav.npy,0
57,./data/audios/hungry/9aa8bac5-eeb9-4f19-a4bf-7c439e87364b-1430745312460-1.7-m-04-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -6.9859358e-03
 -2.6260249e-03  0.0000000e+00]",./data/audios/save_np/9aa8bac5-eeb9-4f19-a4bf-7c439e87364b-1430745312460-1.7-m-04-hu.wav.npy,0
58,./data/audios/cry/V_2017-04-01+08_06_22=0_30.mp3_16.wav,"[-0.00053198 -0.00305688 -0.00657909 ... -0.06424975 -0.07378261
  0.07812787]",./data/audios/save_np/V_2017-04-01+08_06_22=0_30.mp3_16.wav.npy,0
59,./data/audios/silence/silence.wav_69.wav,[0.04359401 0.0900936  0.08388597 ... 0.0304626  0.0359169  0.03175341],./data/audios/save_np/silence.wav_69.wav.npy,3
60,./data/audios/laugh/laugh_1.m4a_21.wav,"[ 0.00107973 -0.00151008 -0.0016949  ... -0.00986755 -0.01450485
 -0.01182761]",./data/audios/save_np/laugh_1.m4a_21.wav.npy,1
61,./data/audios/hungry/2ad6d558-32f2-4bfd-99c5-cbd31ee3bb11-1430064396119-1.7-m-72-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -8.9469664e-03
 -2.6349287e-02  0.0000000e+00]",./data/audios/save_np/2ad6d558-32f2-4bfd-99c5-cbd31ee3bb11-1430064396119-1.7-m-72-hu.wav.npy,0
62,./data/audios/laugh/laugh_1.m4a_61.wav,"[-0.00482833 -0.00339138  0.00109734 ... -0.14229125  0.07133883
  0.25175795]",./data/audios/save_np/laugh_1.m4a_61.wav.npy,1
63,./data/audios/hungry/F2F97740-D638-4B6F-9E09-3AC65F06B448-1436849335-1.1-f-48-hu.wav,"[-0.00161849 -0.00179936  0.00370908 ...  0.01452761  0.01015205
  0.00531758]",./data/audios/save_np/F2F97740-D638-4B6F-9E09-3AC65F06B448-1436849335-1.1-f-48-hu.wav.npy,0
64,./data/audios/laugh/laugh_1.m4a_16.wav,"[ 0.00366419 -0.05834103  0.05035197 ... -0.00547422 -0.00821488
 -0.00305784]",./data/audios/save_np/laugh_1.m4a_16.wav.npy,1
65,./data/audios/laugh/laugh_1.m4a_17.wav,"[-0.0916249  -0.12509511 -0.04699686 ... -0.00871633 -0.00725217
 -0.00617345]",./data/audios/save_np/laugh_1.m4a_17.wav.npy,1
66,./data/audios/silence/silence.wav_53.wav,"[ 0.13063146  0.23612386  0.18639998 ...  0.03955087  0.03186442
 -0.00682471]",./data/audios/save_np/silence.wav_53.wav.npy,3
67,./data/audios/laugh/laugh_2.m4a_16.wav,"[ 2.1121919e-02  8.2627498e-02  1.2621230e-01 ... -1.6683187e-02
 -4.5939945e-03  5.2399475e-05]",./data/audios/save_np/laugh_2.m4a_16.wav.npy,1
68,./data/audios/laugh/laugh_2.m4a_14.wav,"[-0.00237316 -0.00236578 -0.00173213 ... -0.0011162  -0.00093814
 -0.00057089]",./data/audios/save_np/laugh_2.m4a_14.wav.npy,1
69,./data/audios/noise/2-82274-B.wav,"[-9.9782157e-04 -1.3799137e-03 -7.0082268e-04 ... -2.6386286e-05
 -5.0569437e-05  0.0000000e+00]",./data/audios/save_np/2-82274-B.wav.npy,2
70,./data/audios/hungry/cecd525b-18fd-49e3-b2b9-dfb08b93ad95-1430109958636-1.7-m-26-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -4.7165495e-03
 -1.8521695e-03  0.0000000e+00]",./data/audios/save_np/cecd525b-18fd-49e3-b2b9-dfb08b93ad95-1430109958636-1.7-m-26-hu.wav.npy,0
71,./data/audios/hungry/045C5483-69E1-4BEC-B1D8-9286D174B9B2-1430102996-1.0-m-04-hu.wav,"[ 0.00181487 -0.00048718  0.00829461 ...  0.03272821  0.02299708
 -0.01520198]",./data/audios/save_np/045C5483-69E1-4BEC-B1D8-9286D174B9B2-1430102996-1.0-m-04-hu.wav.npy,0
72,./data/audios/cry/Louise_01.m4a_14.wav,"[ 0.01294874 -0.01111028  0.07020412 ... -0.00929173  0.02436621
  0.06059419]",./data/audios/save_np/Louise_01.m4a_14.wav.npy,0
73,./data/audios/hungry/ed31b187-34af-4ff1-979c-3b8a5905fb7b-1430045366784-1.7-f-04-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -5.8855573e-03
  3.8771345e-03  0.0000000e+00]",./data/audios/save_np/ed31b187-34af-4ff1-979c-3b8a5905fb7b-1430045366784-1.7-f-04-hu.wav.npy,0
74,./data/audios/hungry/36f1b3ec-3d2a-470e-af6f-0a8cc11b2723-1430237012976-1.7-m-04-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -7.7915873e-04
 -5.0547445e-04  0.0000000e+00]",./data/audios/save_np/36f1b3ec-3d2a-470e-af6f-0a8cc11b2723-1430237012976-1.7-m-04-hu.wav.npy,0
75,./data/audios/hungry/719bb382-a592-46b7-82d2-8b4a625263b7-1430376483385-1.7-m-48-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  6.5827300e-04
 -1.7337572e-03  0.0000000e+00]",./data/audios/save_np/719bb382-a592-46b7-82d2-8b4a625263b7-1430376483385-1.7-m-48-hu.wav.npy,0
76,./data/audios/hungry/990DE219-FCD1-4634-91CE-19AB93E5D2B0-1430214575-1.0-m-04-hu.wav,"[ 0.00025059 -0.00030632  0.00040353 ...  0.01425606  0.01119364
 -0.01004676]",./data/audios/save_np/990DE219-FCD1-4634-91CE-19AB93E5D2B0-1430214575-1.0-m-04-hu.wav.npy,0
77,./data/audios/silence/silence.wav_3.wav,"[-0.08819304 -0.16034275 -0.13493969 ...  0.04134439  0.02014516
  0.00361438]",./data/audios/save_np/silence.wav_3.wav.npy,3
78,./data/audios/noise/2-56926-A.wav,"[-3.7876512e-03 -3.2648094e-02  3.7918270e-03 ... -1.3572263e-04
 -9.4312636e-05  1.5441673e-09]",./data/audios/save_np/2-56926-A.wav.npy,2
79,./data/audios/hungry/f5b29377-7cd6-4688-942c-5a07add39dc5-1437178455960-1.7-f-26-hu.wav,"[ 7.5558464e-06  2.9499688e-05  3.3929435e-05 ... -3.7611020e-04
 -1.8257956e-04  0.0000000e+00]",./data/audios/save_np/f5b29377-7cd6-4688-942c-5a07add39dc5-1437178455960-1.7-f-26-hu.wav.npy,0
80,./data/audios/hungry/02c3b725-26e4-4a2c-9336-04ddc58836d9-1430726196216-1.7-m-04-hu.wav,"[-4.3789387e-06  1.7520693e-05  3.3665445e-05 ...  1.9847883e-05
  7.4824195e-05  0.0000000e+00]",./data/audios/save_np/02c3b725-26e4-4a2c-9336-04ddc58836d9-1430726196216-1.7-m-04-hu.wav.npy,0
81,./data/audios/noise/3-155234-A.wav,"[ 2.1148633e-02  4.0080890e-02  4.9444463e-02 ... -4.7955112e-08
  3.4637232e-08  0.0000000e+00]",./data/audios/save_np/3-155234-A.wav.npy,2
82,./data/audios/silence/silence.wav_97.wav,"[ 0.13410544  0.25786033  0.2140946  ... -0.10422292 -0.10431614
 -0.1330114 ]",./data/audios/save_np/silence.wav_97.wav.npy,3
83,./data/audios/hungry/aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1436910225455-1.7-f-04-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  4.3086155e-04
  5.3228647e-04  0.0000000e+00]",./data/audios/save_np/aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1436910225455-1.7-f-04-hu.wav.npy,0
84,./data/audios/hungry/539FDD32-6326-422E-A707-FCF063D3426C-1437073544-1.1-f-26-hu.wav,"[ 0.00144583 -0.00031151 -0.00232759 ... -0.02260517  0.00342624
  0.04472842]",./data/audios/save_np/539FDD32-6326-422E-A707-FCF063D3426C-1437073544-1.1-f-26-hu.wav.npy,0
85,./data/audios/laugh/laugh_1.m4a_8.wav,"[ 0.00199518  0.00273174  0.0016023  ... -0.0341651  -0.02244322
  0.00013346]",./data/audios/save_np/laugh_1.m4a_8.wav.npy,1
86,./data/audios/hungry/D18A30C6-4370-4BE0-83F8-031892F96603-1432989796-1.1-f-04-hu.wav,"[-0.00422737  0.01623111 -0.02859816 ...  0.01777189  0.01359448
 -0.0052223 ]",./data/audios/save_np/D18A30C6-4370-4BE0-83F8-031892F96603-1432989796-1.1-f-04-hu.wav.npy,0
87,./data/audios/hungry/af30880e-5f98-4dc0-b37a-be6b21fa0ba3-1431240037389-1.7-m-26-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -1.3576916e-01
  6.8295963e-02  0.0000000e+00]",./data/audios/save_np/af30880e-5f98-4dc0-b37a-be6b21fa0ba3-1431240037389-1.7-m-26-hu.wav.npy,0
88,./data/audios/hungry/40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477756469-1.7-f-26-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  1.6817003e-02
  1.3059720e-02  0.0000000e+00]",./data/audios/save_np/40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477756469-1.7-f-26-hu.wav.npy,0
89,./data/audios/laugh/laugh_1.m4a_66.wav,"[ 0.0796204   0.08807936 -0.0443688  ...  0.09007456  0.36409912
  0.35607636]",./data/audios/save_np/laugh_1.m4a_66.wav.npy,1
90,./data/audios/hungry/090C15A8-5406-4EA5-97A3-81F6527227C0-1430147525-1.0-m-72-hu.wav,"[-0.00065213 -0.00143707 -0.00169527 ...  0.26131663 -0.24899952
 -0.06774613]",./data/audios/save_np/090C15A8-5406-4EA5-97A3-81F6527227C0-1430147525-1.0-m-72-hu.wav.npy,0
91,./data/audios/cry/V_2017-04-01+08_06_22=0_30.mp3_20.wav,"[ 0.15736301 -0.01369122 -0.39730576 ... -0.11107685  0.02561836
  0.07453139]",./data/audios/save_np/V_2017-04-01+08_06_22=0_30.mp3_20.wav.npy,0
92,./data/audios/hungry/3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651049104-1.7-m-72-hu.wav,"[-1.8332081e-06  1.4213355e-05  3.8113729e-05 ... -2.8507974e-02
 -1.2092470e-02  0.0000000e+00]",./data/audios/save_np/3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651049104-1.7-m-72-hu.wav.npy,0
93,./data/audios/noise/5-156999-B.wav,"[-1.0936409e-02 -1.3418256e-02 -8.1429753e-04 ... -5.8663204e-07
  5.0862798e-07  0.0000000e+00]",./data/audios/save_np/5-156999-B.wav.npy,2
94,./data/audios/noise/4-180337-A.wav,"[1.3626309e-02 2.5537450e-02 1.8726360e-02 ... 9.7948068e-05 8.2403181e-05
 4.4530654e-05]",./data/audios/save_np/4-180337-A.wav.npy,2
95,./data/audios/hungry/0c8f14a9-6999-485b-97a2-913c1cbf099c-1430760394426-1.7-m-26-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ...  1.5464442e-02
 -4.3870839e-03  0.0000000e+00]",./data/audios/save_np/0c8f14a9-6999-485b-97a2-913c1cbf099c-1430760394426-1.7-m-26-hu.wav.npy,0
96,./data/audios/silence/silence.wav_17.wav,"[-0.10006332 -0.1962716  -0.17189237 ...  0.12817617  0.12323964
  0.14238472]",./data/audios/save_np/silence.wav_17.wav.npy,3
97,./data/audios/hungry/adb53808-8b13-4c08-b055-6653c75298be-1430133982281-1.7-m-72-hu.wav,"[ 1.5207868e-06 -1.8924203e-06  2.5469856e-06 ... -8.3953507e-02
 -9.6248001e-02  0.0000000e+00]",./data/audios/save_np/adb53808-8b13-4c08-b055-6653c75298be-1430133982281-1.7-m-72-hu.wav.npy,0
